66.249.66.93 - - [15/Oct/2019:09:01:02 +0200] "GET /training HTTP/1.1" 200 9378 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
165.225.73.33 - - [15/Oct/2019:09:20:50 +0200] "GET /priser HTTP/1.1" 200 13105 "http://www.google.se/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&ved=2ahUKEwiaxd-R3Z3lAhUFLVAKHZU1BdsQFjACegQIARAB&url=http%3A%2F%2Fsite.mantorpgym.se%2Fpriser&usg=AOvVaw0h0ZNM2KiO6Y5s4lVYg2vS" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
165.225.73.33 - - [15/Oct/2019:09:20:50 +0200] "GET /css/menuStyle.css HTTP/1.1" 200 3239 "http://site.mantorpgym.se/priser" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
165.225.73.33 - - [15/Oct/2019:09:20:50 +0200] "GET /css/popupStyle.css HTTP/1.1" 200 2504 "http://site.mantorpgym.se/priser" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
165.225.73.33 - - [15/Oct/2019:09:20:50 +0200] "GET /css/style.css HTTP/1.1" 200 12239 "http://site.mantorpgym.se/priser" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
165.225.73.33 - - [15/Oct/2019:09:20:50 +0200] "GET /node_modules/jquery/dist/jquery.min.js HTTP/1.1" 200 87237 "http://site.mantorpgym.se/priser" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
165.225.73.33 - - [15/Oct/2019:09:20:50 +0200] "GET /img/logo.png HTTP/1.1" 200 190624 "http://site.mantorpgym.se/priser" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
165.225.73.33 - - [15/Oct/2019:09:20:50 +0200] "GET /js/main.js?v=2.1 HTTP/1.1" 200 1138 "http://site.mantorpgym.se/priser" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
165.225.73.33 - - [15/Oct/2019:09:20:50 +0200] "GET /js/leaflet.js?v=2.1 HTTP/1.1" 200 2385 "http://site.mantorpgym.se/priser" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
165.225.73.33 - - [15/Oct/2019:09:20:50 +0200] "GET /fonts/Nexa%20Light.otf HTTP/1.1" 200 30326 "http://site.mantorpgym.se/priser" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
165.225.73.33 - - [15/Oct/2019:09:20:50 +0200] "GET /img/IMG_92552.jpg HTTP/1.1" 200 225084 "http://site.mantorpgym.se/priser" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
165.225.73.33 - - [15/Oct/2019:09:20:50 +0200] "GET /fonts/Nexa%20Bold.otf HTTP/1.1" 200 30710 "http://site.mantorpgym.se/priser" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
165.225.73.33 - - [15/Oct/2019:09:20:51 +0200] "GET /img/logo.png HTTP/1.1" 200 190624 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; Trident/7.0; rv:11.0) like Gecko"
66.249.66.91 - - [15/Oct/2019:09:21:21 +0200] "GET /robots.txt HTTP/1.1" 200 1202 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
165.225.73.33 - - [15/Oct/2019:09:21:27 +0200] "GET /priser HTTP/1.1" 200 13041 "http://site.mantorpgym.se/priser" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
165.225.73.33 - - [15/Oct/2019:09:21:27 +0200] "GET /js/main.js?v=2.1 HTTP/1.1" 200 1138 "http://site.mantorpgym.se/priser" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
66.249.66.91 - - [15/Oct/2019:09:21:27 +0200] "GET /training HTTP/1.1" 200 9378 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
165.225.73.33 - - [15/Oct/2019:09:21:32 +0200] "GET /priser HTTP/1.1" 200 13041 "http://site.mantorpgym.se/priser" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
165.225.73.33 - - [15/Oct/2019:09:21:33 +0200] "GET /js/main.js?v=2.1 HTTP/1.1" 200 1138 "http://site.mantorpgym.se/priser" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
165.225.73.33 - - [15/Oct/2019:09:24:19 +0200] "GET /training HTTP/1.1" 200 9314 "http://site.mantorpgym.se/priser" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
165.225.73.33 - - [15/Oct/2019:09:24:20 +0200] "GET /js/training.js HTTP/1.1" 200 817 "http://site.mantorpgym.se/training" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
